Date	Deaths
2020-04-04	14
2020-04-05	14
2020-04-06	17
2020-04-07	19
2020-04-08	19
2020-04-09	22
2020-04-10	24
2020-04-11	25
2020-04-12	27
2020-04-13	27
2020-04-14	33
2020-04-15	36
2020-04-16	40
2020-04-18	50
2020-04-19	58
2020-04-20	60
2020-04-21	62
2020-04-22	66
2020-04-23	70
2020-04-24	73
2020-04-27	91
2020-04-28	95
2020-04-29	102
2020-04-30	106
2020-05-01	107
2020-05-02	114
2020-05-03	124
2020-05-04	134
2020-05-06	144
2020-05-07	150
2020-05-08	155
2020-05-11	175
2020-05-12	184
2020-05-13	193
2020-05-14	201
2020-05-15	208
2020-05-18	223
2020-05-19	228
2020-05-20	232
2020-05-21	238
