Date	cases
2020-04-13	31
2020-04-14	33
2020-04-15	35
2020-04-16	39
2020-04-19	40
2020-04-20	41
2020-04-21	41
2020-04-22	43
2020-04-23	44
2020-04-24	45
2020-04-27	48
2020-04-28	48
2020-04-29	50
2020-04-30	55
2020-05-01	55
2020-05-02	56
2020-05-03	56
2020-05-04	56
2020-05-06	60
2020-05-07	63
2020-05-08	66
2020-05-09	66
2020-05-10	66
2020-05-11	67
2020-05-12	68
2020-05-13	68
2020-05-14	70
2020-05-15	71
2020-05-16	71
2020-05-17	73
2020-05-18	74
2020-05-19	74
2020-05-20	77
2020-05-21	78
2020-05-22	79
2020-05-23	79
2020-05-24	79
